covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
362.0,395305,2321.0,167
342.0,395456,2190.0,151
343.0,395631,2096.0,175
337.0,395804,2108.0,173
333.0,395957,2057.0,153
315.0,396113,1972.0,156
294.0,396240,1885.0,127
298.0,396358,1844.0,118
292.0,396493,1735.0,135
283.0,396605,1691.0,112
291.0,396743,1732.0,138
273.0,396841,1649.0,98
249.0,396967,1609.0,126
237.0,397059,1523.0,92
221.0,397183,1478.0,124
220.0,397282,1401.0,99
211.0,397389,1377.0,107
208.0,397497,1393.0,108
196.0,397625,1310.0,128
188.0,397714,1278.0,89
178.0,397794,1235.0,80
170.0,397876,1161.0,82
167.0,397944,1071.0,68
172.0,398036,1082.0,92
168.0,398134,1096.0,98
162.0,398210,1093.0,76
161.0,398306,1032.0,96
144.0,398394,976.0,88
145.0,398471,973.0,77
135.0,398551,948.0,80
131.0,398627,933.0,76
135.0,398703,944.0,76
126.0,398782,921.0,79
123.0,398875,907.0,93
119.0,398949,845.0,74
115.0,399021,818.0,72
115.0,399091,810.0,70
116.0,399150,801.0,59
117.0,399224,798.0,74
114.0,399314,749.0,90
113.0,399407,757.0,93
115.0,399505,749.0,98
117.0,399590,766.0,85
113.0,399665,730.0,75
111.0,399742,756.0,77
113.0,399840,797.0,98
117.0,399928,765.0,88
115.0,400023,745.0,95
110.0,400106,742.0,83
116.0,400198,743.0,92
112.0,400267,748.0,69
115.0,400347,755.0,80
110.0,400445,773.0,98
123.0,400560,776.0,115
116.0,400661,801.0,101
124.0,400754,779.0,93
119.0,400850,805.0,96
124.0,400946,782.0,96
131.0,401067,807.0,121
133.0,401198,860.0,131
140.0,401345,879.0,147
141.0,401503,876.0,158
140.0,401665,906.0,162
146.0,401809,884.0,144
152.0,401946,915.0,137
171.0,402133,947.0,187
170.0,402318,993.0,185
187.0,402506,1030.0,188
192.0,402683,1057.0,177
197.0,402885,1122.0,202
210.0,403070,1170.0,185
203.0,403248,1143.0,178
196.0,403419,1168.0,171
212.0,403600,1290.0,181
229.0,403782,1301.0,182
227.0,403996,1255.0,214
240.0,404190,1274.0,194
238.0,404396,1284.0,206
236.0,404619,1276.0,223
244.0,404845,1331.0,226
272.0,405089,1465.0,244
259.0,405372,1445.0,283
264.0,405703,1500.0,331
279.0,405998,1560.0,295
297.0,406305,1611.0,307
296.0,406628,1636.0,323
305.0,407018,1744.0,390
330.0,407434,1888.0,416
353.0,407892,1998.0,458
377.0,408353,2144.0,461
376.0,408841,2209.0,488
393.0,409292,2352.0,451
398.0,409734,2429.0,442
408.0,410236,2564.0,502
433.0,410846,2798.0,610
470.0,411467,2970.0,621
489.0,412103,3110.0,636
493.0,412761,3241.0,658
512.0,413354,3367.0,593
514.0,413976,3442.0,622
512.0,414674,3546.0,698
543.0,415426,3813.0,752
544.0,416231,3894.0,805
567.0,417014,4063.0,783
612.0,417841,4230.0,827
625.0,418566,4401.0,725
659.0,419300,4476.0,734
675.0,420136,4725.0,836
712.0,420966,5055.0,830
738.0,421782,5163.0,816
748.0,422510,5182.0,728
765.0,423268,5056.0,758
785.0,423918,5111.0,650
789.0,424511,5057.0,593
769.0,425156,5090.0,645
791.0,425842,5309.0,686
780.0,426522,5116.0,680
772.0,427269,4944.0,747
770.0,427962,4894.0,693
765.0,428619,4879.0,657
760.0,429249,4817.0,630
765.0,429900,4939.0,651
762.0,430565,5098.0,665
782.0,431325,5096.0,760
777.0,432072,5073.0,747
783.0,432830,5029.0,758
793.0,433524,5076.0,694
797.0,434213,4973.0,689
800.0,434932,5115.0,719
816.0,435708,5429.0,776
825.0,436540,5437.0,832
812.0,437335,5514.0,795
835.0,438159,5554.0,824
857.0,438892,5576.0,733
858.0,439649,5575.0,757
863.0,440375,5749.0,726
845.0,441206,6000.0,831
857.0,442024,5911.0,818
871.0,442867,5922.0,843
872.0,443644,5893.0,777
874.0,444393,5889.0,749
835.0,445081,5756.0,688
850.0,445782,5855.0,701
859.0,446590,6002.0,808
879.0,447388,6293.0,798
890.0,448223,6236.0,835
897.0,449011,6186.0,788
889.0,449699,6195.0,688
880.0,450451,6043.0,752
878.0,451142,6167.0,691
909.0,451973,6375.0,831
885.0,452774,6244.0,801
896.0,453674,6302.0,900
887.0,454464,6254.0,790
898.0,455144,6400.0,680
865.0,455793,6206.0,649
884.0,456451,6253.0,658
886.0,457139,6424.0,688
888.0,457840,6344.0,701
910.0,458531,6306.0,691
849.0,459203,6081.0,672
844.0,459743,5910.0,540
829.0,460303,5688.0,560
824.0,460875,5695.0,572
811.0,461481,5727.0,606
774.0,462083,5543.0,602
783.0,462655,5406.0,572
757.0,463232,5214.0,577
730.0,463789,5036.0,557
723.0,464309,5100.0,520
689.0,464844,4949.0,535
685.0,465461,5121.0,617
681.0,466057,5126.0,596
671.0,466682,5017.0,625
672.0,467234,4916.0,552
671.0,467754,4799.0,520
630.0,468303,4652.0,549
639.0,468880,4778.0,577
632.0,469507,4909.0,627
661.0,470165,5006.0,658
663.0,470797,5009.0,632
665.0,471431,4962.0,634
647.0,472050,4975.0,619
639.0,472663,4921.0,613
622.0,473269,5077.0,606
621.0,473954,5206.0,685
657.0,474714,5213.0,760
657.0,475466,5246.0,752
655.0,476196,5289.0,730
673.0,476948,5363.0,752
681.0,477691,5385.0,743
695.0,478519,5623.0,828
703.0,479415,5938.0,896
733.0,480309,6099.0,894
746.0,481212,6299.0,903
750.0,482011,6366.0,799
746.0,482771,6405.0,760
728.0,483527,6386.0,756
745.0,484356,6515.0,829
776.0,485221,6801.0,865
803.0,486132,6883.0,911
799.0,487087,6951.0,955
794.0,487975,7019.0,888
809.0,488815,7113.0,840
812.0,489556,7155.0,741
815.0,490416,7311.0,860
859.0,491315,7535.0,899
859.0,492206,7510.0,891
854.0,493013,7291.0,807
867.0,493730,7201.0,717
860.0,494416,7072.0,686
856.0,495104,6874.0,688
846.0,495843,6910.0,739
869.0,496693,7075.0,850
865.0,497501,7053.0,808
846.0,498322,6961.0,821
842.0,499119,6861.0,797
838.0,499848,6777.0,729
830.0,500503,6639.0,655
841.0,501181,6707.0,678
821.0,501876,6864.0,695
796.0,502589,6623.0,713
792.0,503316,6412.0,727
779.0,504013,6336.0,697
769.0,504650,6310.0,637
764.0,505261,6191.0,611
776.0,505909,6322.0,648
785.0,506511,6424.0,602
780.0,507170,6257.0,659
783.0,507922,6062.0,752
790.0,508572,6068.0,650
796.0,509192,5992.0,620
787.0,509801,5852.0,609
793.0,510408,5890.0,607
793.0,511077,6094.0,669
806.0,511776,6123.0,699
773.0,512474,5829.0,698
774.0,513193,5915.0,719
783.0,513817,5851.0,624
775.0,514452,5784.0,635
770.0,515180,5903.0,728
793.0,515916,5992.0,736
779.0,516715,6027.0,799
778.0,517469,6053.0,754
792.0,518268,6130.0,799
793.0,518975,6088.0,707
785.0,519671,6095.0,696
788.0,520443,6223.0,772
795.0,521237,6395.0,794
795.0,522052,6434.0,815
786.0,522857,6358.0,805
783.0,523634,6405.0,777
789.0,524377,6321.0,743
767.0,525112,6287.0,735
767.0,526038,6434.0,926
768.0,527099,6688.0,1061
757.0,528197,6902.0,1098
745.0,529443,7080.0,1246
747.0,530695,7114.0,1252
742.0,531715,7366.0,1020
745.0,532996,7166.0,1281
758.0,534370,7536.0,1374
776.0,536121,8474.0,1751
758.0,538203,9546.0,2082
771.0,540573,10462.0,2370
782.0,542687,11452.0,2114
789.0,544468,12395.0,1781
765.0,546287,12615.0,1819
769.0,548168,13151.0,1881
777.0,550387,14210.0,2219
797.0,552488,15044.0,2101
769.0,554627,15659.0,2139
762.0,556670,16058.0,2043
728.0,558442,16163.0,1772
708.0,560304,16034.0,1862
704.0,562279,16399.0,1975
707.0,564459,17120.0,2180
686.0,566586,16939.0,2127
672.0,568541,16881.0,1955
666.0,570457,16716.0,1916
637.0,572149,16537.0,1692
608.0,573753,16281.0,1604
619.0,575521,16372.0,1768
623.0,577329,16621.0,1808
614.0,579123,16218.0,1794
586.0,580901,15742.0,1778
573.0,582599,15302.0,1698
552.0,584052,14865.0,1453
545.0,585329,14320.0,1277
524.0,586864,14334.0,1535
521.0,588457,14563.0,1593
501.0,590138,14088.0,1681
493.0,591827,13948.0,1689
481.0,593330,13651.0,1503
467.0,594672,13462.0,1342
458.0,595997,12672.0,1325
457.0,597282,12992.0,1285
449.0,598733,13331.0,1451
449.0,600270,12896.0,1537
432.0,601721,12577.0,1451
