date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,hospitalCases,newAdmissions,population,covidOccupiedMVBeds,cumAdmissions,covidOccupiedMVBeds_lag_1,covidOccupiedMVBeds_lag_2,covidOccupiedMVBeds_lag_3,covidOccupiedMVBeds_lag_5,covidOccupiedMVBeds_lag_7,covidOccupiedMVBeds_lag_14,covidOccupiedMVBeds_lag_21,month,day,day_of_week
2021-12-20,116508.0,100.0,10131405.0,128651.0,8712.0,1385,56171302,1010.0,722645,1001.0,1002.0,1040.0,1046.0,1048.0,1062.0,1079.0,12,20,0
2021-12-21,128587.0,87.0,10259992.0,128738.0,8993.0,1384,56171302,994.0,724029,1010.0,1001.0,1002.0,1038.0,1063.0,1042.0,1112.0,12,21,1
2021-12-22,137046.0,115.0,10397038.0,128853.0,9190.0,1576,56171302,980.0,725605,994.0,1010.0,1001.0,1040.0,1046.0,1029.0,1047.0,12,22,2
2021-12-23,135975.0,119.0,10533013.0,128972.0,9175.0,1618,56171302,968.0,727223,980.0,994.0,1010.0,1002.0,1038.0,1052.0,1051.0,12,23,3
2021-12-24,116634.0,111.0,10649647.0,129083.0,9487.0,1337,56171302,950.0,728560,968.0,980.0,994.0,1001.0,1040.0,1050.0,1057.0,12,24,4
2021-12-25,59516.0,93.0,10709163.0,129176.0,9233.0,1646,56171302,955.0,730206,950.0,968.0,980.0,1010.0,1002.0,1042.0,1041.0,12,25,5
2021-12-26,98131.0,107.0,10807294.0,129283.0,9728.0,1782,56171302,973.0,731988,955.0,950.0,968.0,994.0,1001.0,1043.0,1033.0,12,26,6
2021-12-27,154331.0,126.0,10961625.0,129409.0,10806.0,2304,56171302,976.0,734292,973.0,955.0,950.0,980.0,1010.0,1048.0,1062.0,12,27,0
2021-12-28,169263.0,142.0,11130888.0,129551.0,12194.0,2833,56171302,964.0,737125,976.0,973.0,955.0,968.0,994.0,1063.0,1042.0,12,28,1
2021-12-29,222188.0,103.0,11353076.0,129654.0,13375.0,3236,56171302,970.0,740361,964.0,976.0,973.0,950.0,980.0,1046.0,1029.0,12,29,2
2021-12-30,191124.0,175.0,11544200.0,129829.0,14778.0,2818,56171302,989.0,743179,970.0,964.0,976.0,955.0,968.0,1038.0,1052.0,12,30,3
2021-12-31,151496.0,147.0,11695696.0,129976.0,16161.0,2476,56171302,1002.0,745655,989.0,970.0,964.0,973.0,950.0,1040.0,1050.0,12,31,4
2022-01-01,98042.0,163.0,11793738.0,130139.0,16497.0,2448,56171302,984.0,748103,1002.0,989.0,970.0,976.0,955.0,1002.0,1042.0,1,1,5
2022-01-02,147353.0,153.0,11941091.0,130292.0,17361.0,2568,56171302,995.0,750671,984.0,1002.0,989.0,964.0,973.0,1001.0,1043.0,1,2,6
2022-01-03,191620.0,157.0,12132711.0,130449.0,18703.0,2947,56171302,989.0,753618,995.0,984.0,1002.0,970.0,976.0,1010.0,1048.0,1,3,0
2022-01-04,232731.0,177.0,12365442.0,130626.0,19863.0,2896,56171302,1018.0,756514,989.0,995.0,984.0,989.0,964.0,994.0,1063.0,1,4,1
2022-01-05,181964.0,192.0,12547406.0,130818.0,20635.0,2946,56171302,987.0,759460,1018.0,989.0,995.0,1002.0,970.0,980.0,1046.0,1,5,2
2022-01-06,149245.0,224.0,12696651.0,131042.0,21357.0,2884,56171302,979.0,762344,987.0,1018.0,989.0,984.0,989.0,968.0,1038.0,1,6,3
2022-01-07,103789.0,228.0,12800440.0,131270.0,21525.0,2451,56171302,931.0,764795,979.0,987.0,1018.0,995.0,1002.0,950.0,1040.0,1,7,4
2022-01-08,80270.0,221.0,12880710.0,131491.0,21470.0,2567,56171302,909.0,767362,931.0,979.0,987.0,989.0,984.0,955.0,1002.0,1,8,5
2022-01-09,82256.0,235.0,12962966.0,131726.0,22049.0,2764,56171302,899.0,770126,909.0,931.0,979.0,1018.0,995.0,973.0,1001.0,1,9,6
2022-01-10,115121.0,247.0,13078087.0,131973.0,23023.0,3040,56171302,903.0,773166,899.0,909.0,931.0,987.0,989.0,976.0,1010.0,1,10,0
2022-01-11,100122.0,248.0,13178209.0,132221.0,22886.0,2934,56171302,872.0,776100,903.0,899.0,909.0,979.0,1018.0,964.0,994.0,1,11,1
2022-01-12,89263.0,225.0,13267472.0,132446.0,22800.0,2707,56171302,852.0,778807,872.0,903.0,899.0,931.0,987.0,970.0,980.0,1,12,2
