areaType,areaName,areaCode,date,newAdmissionsWeekly,cumAdmissions
nation,England,E92000001,2022-09-28,,862224
nation,England,E92000001,2022-09-27,,861090
nation,England,E92000001,2022-09-26,,860045
nation,England,E92000001,2022-09-25,,859047
nation,England,E92000001,2022-09-24,,858076
nation,England,E92000001,2022-09-23,5054,857349
nation,England,E92000001,2022-09-22,,856645
nation,England,E92000001,2022-09-21,,855799
nation,England,E92000001,2022-09-20,,854941
nation,England,E92000001,2022-09-19,,854115
nation,England,E92000001,2022-09-18,,853334
nation,England,E92000001,2022-09-17,,852779
nation,England,E92000001,2022-09-16,3621,852295
nation,England,E92000001,2022-09-15,,851819
nation,England,E92000001,2022-09-14,,851266
nation,England,E92000001,2022-09-13,,850680
nation,England,E92000001,2022-09-12,,850100
nation,England,E92000001,2022-09-11,,849581
nation,England,E92000001,2022-09-10,,849082
nation,England,E92000001,2022-09-09,3444,848674
nation,England,E92000001,2022-09-08,,848252
nation,England,E92000001,2022-09-07,,847744
nation,England,E92000001,2022-09-06,,847203
nation,England,E92000001,2022-09-05,,846666
nation,England,E92000001,2022-09-04,,846140
nation,England,E92000001,2022-09-03,,845669
nation,England,E92000001,2022-09-02,3808,845230
nation,England,E92000001,2022-09-01,,844764
nation,England,E92000001,2022-08-31,,844230
nation,England,E92000001,2022-08-30,,843650
nation,England,E92000001,2022-08-29,,843038
nation,England,E92000001,2022-08-28,,842436
nation,England,E92000001,2022-08-27,,841897
nation,England,E92000001,2022-08-26,4368,841422
nation,England,E92000001,2022-08-25,,840910
nation,England,E92000001,2022-08-24,,840264
nation,England,E92000001,2022-08-23,,839621
nation,England,E92000001,2022-08-22,,838914
nation,England,E92000001,2022-08-21,,838244
nation,England,E92000001,2022-08-20,,837639
nation,England,E92000001,2022-08-19,5328,837054
nation,England,E92000001,2022-08-18,,836406
nation,England,E92000001,2022-08-17,,835714
nation,England,E92000001,2022-08-16,,834926
nation,England,E92000001,2022-08-15,,834108
nation,England,E92000001,2022-08-14,,833247
nation,England,E92000001,2022-08-13,,832488
nation,England,E92000001,2022-08-12,6272,831726
nation,England,E92000001,2022-08-11,,830986
nation,England,E92000001,2022-08-10,,830085
nation,England,E92000001,2022-08-09,,829076
nation,England,E92000001,2022-08-08,,828103
nation,England,E92000001,2022-08-07,,827128
nation,England,E92000001,2022-08-06,,826229
nation,England,E92000001,2022-08-05,7242,825454
nation,England,E92000001,2022-08-04,,824544
nation,England,E92000001,2022-08-03,,823527
nation,England,E92000001,2022-08-02,,822468
nation,England,E92000001,2022-08-01,,821406
nation,England,E92000001,2022-07-31,,820286
nation,England,E92000001,2022-07-30,,819148
nation,England,E92000001,2022-07-29,8467,818212
nation,England,E92000001,2022-07-28,,817216
nation,England,E92000001,2022-07-27,,816051
nation,England,E92000001,2022-07-26,,814854
nation,England,E92000001,2022-07-25,,813536
nation,England,E92000001,2022-07-24,,812191
nation,England,E92000001,2022-07-23,,810884
nation,England,E92000001,2022-07-22,11151,809745
nation,England,E92000001,2022-07-21,,808514
nation,England,E92000001,2022-07-20,,806964
nation,England,E92000001,2022-07-19,,805249
nation,England,E92000001,2022-07-18,,803415
nation,England,E92000001,2022-07-17,,801661
nation,England,E92000001,2022-07-16,,799967
nation,England,E92000001,2022-07-15,12712,798594
nation,England,E92000001,2022-07-14,,797107
nation,England,E92000001,2022-07-13,,795268
nation,England,E92000001,2022-07-12,,793322
nation,England,E92000001,2022-07-11,,791377
nation,England,E92000001,2022-07-10,,789372
nation,England,E92000001,2022-07-09,,787483
nation,England,E92000001,2022-07-08,12614,785882
nation,England,E92000001,2022-07-07,,784186
nation,England,E92000001,2022-07-06,,782219
nation,England,E92000001,2022-07-05,,780274
nation,England,E92000001,2022-07-04,,778348
nation,England,E92000001,2022-07-03,,776437
nation,England,E92000001,2022-07-02,,774642
nation,England,E92000001,2022-07-01,9673,773268
nation,England,E92000001,2022-06-30,,771942
nation,England,E92000001,2022-06-29,,770346
nation,England,E92000001,2022-06-28,,768774
nation,England,E92000001,2022-06-27,,767320
nation,England,E92000001,2022-06-26,,765882
nation,England,E92000001,2022-06-25,,764606
nation,England,E92000001,2022-06-24,7364,763595
nation,England,E92000001,2022-06-23,,762523
nation,England,E92000001,2022-06-22,,761313
nation,England,E92000001,2022-06-21,,760180
nation,England,E92000001,2022-06-20,,759025
nation,England,E92000001,2022-06-19,,757970
nation,England,E92000001,2022-06-18,,757028
nation,England,E92000001,2022-06-17,5220,756231
nation,England,E92000001,2022-06-16,,755402
nation,England,E92000001,2022-06-15,,754580
nation,England,E92000001,2022-06-14,,753738
nation,England,E92000001,2022-06-13,,752975
nation,England,E92000001,2022-06-12,,752253
