,date,cumAdmissions,hospitalCases,covidOccupiedMVBeds,Vax_index,dailyCases
293,2021-01-20,250838,28010.0,3020.0,0.32999999999999996,32679
294,2021-01-21,253142,26555.0,2956.0,0.32999999999999996,29633
295,2021-01-22,255436,29559.0,3081.0,0.32999999999999996,27741
296,2021-01-23,257666,26797.0,2909.0,0.32999999999999996,20425
297,2021-01-24,259756,28335.0,3119.0,0.32999999999999996,15883
298,2021-01-25,261697,26475.0,2883.0,0.32999999999999996,27972
299,2021-01-26,263924,26634.0,2949.0,0.32999999999999996,25210
300,2021-01-27,265980,24660.0,2600.0,0.32999999999999996,23899
301,2021-01-28,267976,25254.0,2710.0,0.32999999999999996,22523
302,2021-01-29,269874,24856.0,2744.0,0.32999999999999996,20363
303,2021-01-30,271539,23739.0,2795.0,0.32999999999999996,15524
304,2021-01-31,273181,23208.0,2463.0,0.32999999999999996,14138
305,2021-02-01,275002,22763.0,2885.0,0.3086325,20765
306,2021-02-02,276741,22027.0,2674.0,0.3086325,18193
307,2021-02-03,278427,21256.0,2563.0,0.3086325,17948
308,2021-02-04,279892,20883.0,2570.0,0.3086325,16717
309,2021-02-05,281243,20154.0,2553.0,0.3086325,14461
310,2021-02-06,282501,19317.0,2411.0,0.3086325,10951
311,2021-02-07,283870,20025.0,2485.0,0.3086325,10457
312,2021-02-08,285270,19038.0,2431.0,0.3086325,14370
313,2021-02-09,286458,17573.0,2178.0,0.3086325,12696
314,2021-02-10,287766,16964.0,2134.0,0.3086325,12272
315,2021-02-11,288912,16636.0,2194.0,0.3086325,11637
316,2021-02-12,289961,15359.0,2120.0,0.3086325,10986
317,2021-02-13,290951,14163.0,1921.0,0.3086325,8025
318,2021-02-14,292060,13929.0,1985.0,0.3086325,7781
319,2021-02-15,293128,14325.0,2042.0,0.3086325,12953
320,2021-02-16,294137,13177.0,1919.0,0.3086325,11268
321,2021-02-17,295106,12739.0,1880.0,0.3086325,10419
322,2021-02-18,296037,12608.0,1762.0,0.3086325,10303
323,2021-02-19,296896,12708.0,1799.0,0.3086325,9246
324,2021-02-20,297667,11312.0,1597.0,0.3086325,7161
325,2021-02-21,298457,10597.0,1772.0,0.3086325,7033
326,2021-02-22,299215,10969.0,1625.0,0.3086325,10279
327,2021-02-23,299958,11255.0,1578.0,0.3086325,8536
328,2021-02-24,300662,10407.0,1402.0,0.3086325,7621
329,2021-02-25,301319,9850.0,1417.0,0.3086325,6934
330,2021-02-26,301880,9652.0,1455.0,0.3086325,5883
331,2021-02-27,302360,8974.0,1198.0,0.3086325,4254
332,2021-02-28,302842,8451.0,1244.0,0.3086325,4112
333,2021-03-01,303452,8485.0,1395.0,0.287265,6215
334,2021-03-02,303993,8216.0,1357.0,0.287265,5950
335,2021-03-03,304489,7500.0,1216.0,0.287265,5305
336,2021-03-04,304994,7512.0,1177.0,0.287265,5011
337,2021-03-05,305400,7236.0,1194.0,0.287265,4728
338,2021-03-06,305828,7088.0,1215.0,0.287265,3832
339,2021-03-07,306197,6270.0,993.0,0.287265,3677
340,2021-03-08,306604,6543.0,980.0,0.287265,5818
341,2021-03-09,306983,6227.0,1001.0,0.287265,5488
342,2021-03-10,307385,5850.0,1010.0,0.287265,5222
343,2021-03-11,307729,5306.0,857.0,0.287265,4848
344,2021-03-12,308024,5273.0,845.0,0.287265,4767
345,2021-03-13,308317,5153.0,752.0,0.287265,3592
346,2021-03-14,308601,4992.0,754.0,0.287265,3707
347,2021-03-15,308961,4898.0,776.0,0.287265,5643
348,2021-03-16,309258,4833.0,688.0,0.287265,4933
349,2021-03-17,309520,4485.0,688.0,0.287265,5048
350,2021-03-18,309807,4282.0,626.0,0.287265,4689
351,2021-03-19,310031,3908.0,653.0,0.287265,4333
352,2021-03-20,310274,3554.0,590.0,0.287265,3514
353,2021-03-21,310499,3564.0,545.0,0.287265,4679
354,2021-03-22,310737,3693.0,598.0,0.287265,5400
355,2021-03-23,310971,3331.0,485.0,0.287265,4566
356,2021-03-24,311192,3495.0,469.0,0.287265,5321
357,2021-03-25,311429,3147.0,437.0,0.287265,4674
358,2021-03-26,311633,3060.0,508.0,0.287265,3803
359,2021-03-27,311802,3091.0,432.0,0.287265,3136
360,2021-03-28,311986,2670.0,422.0,0.287265,4477
361,2021-03-29,312150,2876.0,447.0,0.287265,3422
362,2021-03-30,312333,2702.0,417.0,0.287265,3135
363,2021-03-31,312523,2530.0,447.0,0.287265,3340
364,2021-04-01,312674,2401.0,354.0,0.26589749999999995,3067
365,2021-04-02,312809,2092.0,289.0,0.26589749999999995,2248
366,2021-04-03,312954,2040.0,327.0,0.26589749999999995,2121
367,2021-04-04,313082,2116.0,331.0,0.26589749999999995,2042
368,2021-04-05,313235,2122.0,334.0,0.26589749999999995,2314
369,2021-04-06,313398,1835.0,313.0,0.26589749999999995,2756
370,2021-04-07,313559,1894.0,270.0,0.26589749999999995,2752
371,2021-04-08,313695,1896.0,266.0,0.26589749999999995,2651
372,2021-04-09,313838,1676.0,275.0,0.26589749999999995,2482
373,2021-04-10,313962,1671.0,261.0,0.26589749999999995,2009
374,2021-04-11,314114,1582.0,244.0,0.26589749999999995,2020
375,2021-04-12,314259,1694.0,255.0,0.26589749999999995,2399
376,2021-04-13,314386,1507.0,276.0,0.26589749999999995,2060
377,2021-04-14,314514,1436.0,248.0,0.26589749999999995,2068
378,2021-04-15,314618,1421.0,194.0,0.26589749999999995,1959
379,2021-04-16,314711,1402.0,232.0,0.26589749999999995,1963
380,2021-04-17,314826,1366.0,227.0,0.26589749999999995,1398
381,2021-04-18,314908,1336.0,227.0,0.26589749999999995,2281
382,2021-04-19,315027,1337.0,215.0,0.26589749999999995,2268
383,2021-04-20,315114,1287.0,218.0,0.26589749999999995,2112
384,2021-04-21,315216,1329.0,195.0,0.26589749999999995,2298
385,2021-04-22,315296,1213.0,199.0,0.26589749999999995,2032
386,2021-04-23,315395,1198.0,166.0,0.26589749999999995,1701
387,2021-04-24,315479,1126.0,152.0,0.26589749999999995,1300
388,2021-04-25,315571,1121.0,176.0,0.26589749999999995,1897
389,2021-04-26,315661,1078.0,155.0,0.26589749999999995,2267
390,2021-04-27,315769,1101.0,160.0,0.26589749999999995,1809
391,2021-04-28,315842,962.0,152.0,0.26589749999999995,2153
392,2021-04-29,315898,955.0,126.0,0.26589749999999995,1901
393,2021-04-30,315954,964.0,122.0,0.26589749999999995,1528
394,2021-05-01,316004,777.0,101.0,0.24453,1211
395,2021-05-02,316076,750.0,118.0,0.24453,1305
