,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude,region,epi_week
225,2020-08-13 00:00:00,55.0,0.0,15698.0,2122.0,2656980,151164,55.0,-1.866667,North East England,202033
226,2020-08-14 00:00:00,32.0,0.0,15730.0,2122.0,2656980,151164,55.0,-1.866667,North East England,202033
227,2020-08-15 00:00:00,18.0,1.0,15748.0,2123.0,2656980,151164,55.0,-1.866667,North East England,202033
228,2020-08-16 00:00:00,12.0,0.0,15760.0,2123.0,2656980,151164,55.0,-1.866667,North East England,202034
229,2020-08-17 00:00:00,32.0,1.0,15792.0,2124.0,2656980,151164,55.0,-1.866667,North East England,202034
230,2020-08-18 00:00:00,36.0,1.0,15828.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202034
231,2020-08-19 00:00:00,48.0,0.0,15876.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202034
232,2020-08-20 00:00:00,46.0,0.0,15922.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202034
233,2020-08-21 00:00:00,45.0,0.0,15967.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202034
234,2020-08-22 00:00:00,33.0,0.0,16000.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202034
235,2020-08-23 00:00:00,24.0,0.0,16024.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202035
236,2020-08-24 00:00:00,40.0,0.0,16064.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202035
237,2020-08-25 00:00:00,51.0,0.0,16115.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202035
238,2020-08-26 00:00:00,73.0,0.0,16188.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202035
239,2020-08-27 00:00:00,67.0,0.0,16255.0,2125.0,2656980,151164,55.0,-1.866667,North East England,202035
240,2020-08-28 00:00:00,68.0,1.0,16323.0,2126.0,2656980,151164,55.0,-1.866667,North East England,202035
241,2020-08-29 00:00:00,78.0,1.0,16401.0,2127.0,2656980,151164,55.0,-1.866667,North East England,202035
242,2020-08-30 00:00:00,62.0,0.0,16463.0,2127.0,2656980,151164,55.0,-1.866667,North East England,202036
243,2020-08-31 00:00:00,93.0,0.0,16556.0,2127.0,2656980,151164,55.0,-1.866667,North East England,202036
244,2020-09-01 00:00:00,118.0,0.0,16674.0,2127.0,2656980,151164,55.0,-1.866667,North East England,202036
245,2020-09-02 00:00:00,129.0,0.0,16803.0,2127.0,2656980,151164,55.0,-1.866667,North East England,202036
